tc,area,pop,pden,wden,urb,paper,glass,metal,plastic,msw_so,msw_un,msw,sor,geo,roads,s_wteregio,s_landfill
366.0700073,2.690000057,2239,832.34198,499775.0938,2,10.33773556,11.14895548,2.301258187,7.797559497,955525,388870,1344395,71.07,3,19,0,16.86346436
271.1799927,182.8000031,293902,1607.778931,1234896.875,1,3.545223595,0.824867069,0.082981171,0.787807925,32773571,192730450,225504021,14.53,1,1396,0,76.68603516
99.27999878,16.65999985,2611,156.7226868,63961.34375,3,10.5584105,6.193716943,1.512486909,6.254434138,816036,249560,1065596,76.58,3,190,9.898176193,11.29678535
117.3199997,25.94000053,7681,296.1063843,153944.5625,2,11.60888103,7.043634348,0.725711575,6.975395423,2405725,1525612,3931337,61.19,3,36,17.46755028,4.897195816
104.0999985,13.31000042,3003,225.6198273,99005.32813,3,12.51471246,7.297302015,1.865740449,6.504366118,1022621,295140,1317761,77.6,3,38,9.898176193,11.29678535
116.7300034,19.22999954,4431,230.4212189,101326.3125,3,9.437902392,9.246781507,1.908745423,6.16913993,1489825,458680,1948505,76.46,3,51,9.898176193,11.29678535
130.25,24.29000092,10293,423.7546082,219051.7813,2,13.29193455,7.604973568,2.074343403,6.946083723,3949963,1370805,5320768,74.24,3,313,9.898176193,11.29678535
90.51999664,8.590000153,733,85.33177948,25167.75195,3,7.881919229,11.49446554,1.419578058,5.87027212,174801,41390,216191,80.85,3,29,9.898176193,11.29678535
118.1800003,37.79999924,13647,361.0317383,181936.1719,2,13.61545062,8.531467881,0.657972511,10.47492238,5190215,1500730,6690945,77.57,3,106,17.46755028,4.897195816
133.1399994,18.81999969,7199,382.5186157,190244.2656,2,9.849298835,7.093933997,1.246314305,5.615187366,2740271,777285,3517556,77.9,3,131,17.46755028,4.897195816
141.4600067,20.63999939,27041,1310.125977,720656.0625,2,10.00902158,7.090055284,1.130416467,5.636881661,9518602,5090360,14608962,65.16,3,97,17.46755028,4.897195816
106.4599991,19.80999947,4331,218.6269684,97322.3125,3,10.26631846,8.096662007,2.331330347,6.652644901,1598765,329190,1927955,82.93,3,55,9.898176193,11.29678535
100.0699997,19.54999924,6812,348.4399109,132070.9063,2,14.78656352,4.180115616,2.485838421,7.784937641,1999796,582190,2581986,77.45,3,39,9.898176193,11.29678535
177.2700043,24.28000069,14982,617.0510254,290235,2,12.11463584,9.891220345,1.798590757,5.805483995,5509250,1537656,7046906,78.18,3,86,9.898176193,11.29678535
154.4400024,14.05000019,8949,636.9395142,304296.4375,2,14.64249251,8.736564013,1.876798823,7.40591739,3472135,803230,4275365,81.21,1,54,8.904969215,39.5241394
98.48000336,22.25,1717,77.16854095,32416.4043,3,7.893076747,7.554782223,1.368845015,5.660610178,553115,168150,721265,76.69,3,49,9.898176193,11.29678535
549.3900146,114.4100037,12028,105.1306686,156049.1875,3,9.138107141,8.642985376,1.234844223,3.411146264,10485458,7368130,17853588,58.73,3,265,9.898176193,11.29678535
120.9199982,10.18000031,6786,666.6011353,282981.9063,2,13.36822695,8.472428765,1.78619779,7.229109303,2342324,538432,2880756,81.31,3,44,9.898176193,11.29678535
195.6499939,40.33000183,3847,95.38804626,48281.52344,3,9.034076728,9.337025484,1.402633739,4.58392949,1534044,413150,1947194,78.78,3,75,33.10504913,15.23353004
